======================================================
learning_rate: 0.001
weight_decay: 0.01
momentum: 0.01
batch_size: 100
max_epoch: 500
disp_freq: 50
test_epoch: 5
plot_epoch: 100
network: Lin-784-10 Sigm
loss: Euclidean
result dir: ./result/exp_2
======================================================
10:21:50.736 Training @ 0 epoch...
10:21:51.265   Training iter 50, batch loss 1.3117, batch acc 0.1028
10:21:51.780   Training iter 100, batch loss 1.3030, batch acc 0.1022
10:21:52.299   Training iter 150, batch loss 1.2973, batch acc 0.0952
10:21:52.832   Training iter 200, batch loss 1.2902, batch acc 0.0986
10:21:53.365   Training iter 250, batch loss 1.2828, batch acc 0.0998
10:21:53.866   Training iter 300, batch loss 1.2761, batch acc 0.1028
10:21:54.372   Training iter 350, batch loss 1.2689, batch acc 0.1100
10:21:54.887   Training iter 400, batch loss 1.2627, batch acc 0.1012
10:21:55.410   Training iter 450, batch loss 1.2560, batch acc 0.1022
10:21:55.905   Training iter 500, batch loss 1.2485, batch acc 0.1052
10:21:56.406   Training iter 550, batch loss 1.2423, batch acc 0.1122
10:21:56.915   Training iter 600, batch loss 1.2363, batch acc 0.1034
10:21:56.917 Testing @ 0 epoch...
10:21:56.955     Testing, total mean loss 1.23313, total acc 0.09820
10:21:56.955 Plot @ 0 epoch...
10:21:56.955 Training @ 1 epoch...
10:21:57.481   Training iter 50, batch loss 1.2294, batch acc 0.1070
10:21:58.035   Training iter 100, batch loss 1.2229, batch acc 0.1064
10:21:58.560   Training iter 150, batch loss 1.2162, batch acc 0.1080
10:21:59.068   Training iter 200, batch loss 1.2104, batch acc 0.0984
10:21:59.563   Training iter 250, batch loss 1.2054, batch acc 0.1016
10:22:00.081   Training iter 300, batch loss 1.1983, batch acc 0.1108
10:22:00.570   Training iter 350, batch loss 1.1917, batch acc 0.1062
10:22:01.088   Training iter 400, batch loss 1.1868, batch acc 0.1058
10:22:01.638   Training iter 450, batch loss 1.1807, batch acc 0.1018
10:22:02.160   Training iter 500, batch loss 1.1747, batch acc 0.1090
10:22:02.690   Training iter 550, batch loss 1.1687, batch acc 0.1046
10:22:03.224   Training iter 600, batch loss 1.1630, batch acc 0.1048
10:22:03.226 Training @ 2 epoch...
10:22:03.772   Training iter 50, batch loss 1.1565, batch acc 0.1088
10:22:04.314   Training iter 100, batch loss 1.1507, batch acc 0.1060
10:22:04.848   Training iter 150, batch loss 1.1454, batch acc 0.1098
10:22:05.380   Training iter 200, batch loss 1.1398, batch acc 0.1032
10:22:05.915   Training iter 250, batch loss 1.1350, batch acc 0.1042
10:22:06.447   Training iter 300, batch loss 1.1287, batch acc 0.1114
10:22:06.992   Training iter 350, batch loss 1.1223, batch acc 0.1218
10:22:07.566   Training iter 400, batch loss 1.1173, batch acc 0.1098
10:22:08.124   Training iter 450, batch loss 1.1128, batch acc 0.1008
10:22:08.667   Training iter 500, batch loss 1.1072, batch acc 0.1076
10:22:09.173   Training iter 550, batch loss 1.1031, batch acc 0.1036
10:22:09.669   Training iter 600, batch loss 1.0963, batch acc 0.1070
10:22:09.671 Training @ 3 epoch...
10:22:10.188   Training iter 50, batch loss 1.0917, batch acc 0.1054
10:22:10.701   Training iter 100, batch loss 1.0863, batch acc 0.1134
10:22:11.217   Training iter 150, batch loss 1.0806, batch acc 0.1118
10:22:11.751   Training iter 200, batch loss 1.0762, batch acc 0.1080
10:22:12.252   Training iter 250, batch loss 1.0709, batch acc 0.1124
10:22:12.785   Training iter 300, batch loss 1.0667, batch acc 0.1098
10:22:13.290   Training iter 350, batch loss 1.0613, batch acc 0.1132
10:22:13.789   Training iter 400, batch loss 1.0571, batch acc 0.1048
10:22:14.319   Training iter 450, batch loss 1.0524, batch acc 0.1050
10:22:14.815   Training iter 500, batch loss 1.0464, batch acc 0.1204
10:22:15.320   Training iter 550, batch loss 1.0421, batch acc 0.1096
10:22:15.816   Training iter 600, batch loss 1.0381, batch acc 0.1076
10:22:15.818 Training @ 4 epoch...
10:22:16.329   Training iter 50, batch loss 1.0334, batch acc 0.1114
10:22:16.790   Training iter 100, batch loss 1.0277, batch acc 0.1118
10:22:17.252   Training iter 150, batch loss 1.0239, batch acc 0.1124
10:22:17.717   Training iter 200, batch loss 1.0192, batch acc 0.1152
10:22:18.185   Training iter 250, batch loss 1.0151, batch acc 0.1156
10:22:18.649   Training iter 300, batch loss 1.0119, batch acc 0.1084
10:22:19.122   Training iter 350, batch loss 1.0066, batch acc 0.1098
10:22:19.591   Training iter 400, batch loss 1.0021, batch acc 0.1144
10:22:20.076   Training iter 450, batch loss 0.9981, batch acc 0.1090
10:22:20.556   Training iter 500, batch loss 0.9941, batch acc 0.1142
10:22:21.040   Training iter 550, batch loss 0.9891, batch acc 0.1084
10:22:21.502   Training iter 600, batch loss 0.9840, batch acc 0.1178
10:22:21.504 Training @ 5 epoch...
10:22:21.976   Training iter 50, batch loss 0.9811, batch acc 0.1124
10:22:22.431   Training iter 100, batch loss 0.9775, batch acc 0.1110
10:22:22.893   Training iter 150, batch loss 0.9732, batch acc 0.1118
10:22:23.375   Training iter 200, batch loss 0.9688, batch acc 0.1150
10:22:23.858   Training iter 250, batch loss 0.9643, batch acc 0.1244
10:22:24.351   Training iter 300, batch loss 0.9617, batch acc 0.1102
10:22:24.857   Training iter 350, batch loss 0.9570, batch acc 0.1098
10:22:25.368   Training iter 400, batch loss 0.9534, batch acc 0.1174
10:22:25.858   Training iter 450, batch loss 0.9498, batch acc 0.1100
10:22:26.381   Training iter 500, batch loss 0.9461, batch acc 0.1190
10:22:26.927   Training iter 550, batch loss 0.9424, batch acc 0.1178
10:22:27.470   Training iter 600, batch loss 0.9386, batch acc 0.1254
10:22:27.472 Testing @ 5 epoch...
10:22:27.509     Testing, total mean loss 0.93691, total acc 0.11110
10:22:27.509 Training @ 6 epoch...
10:22:28.062   Training iter 50, batch loss 0.9349, batch acc 0.1136
10:22:28.606   Training iter 100, batch loss 0.9320, batch acc 0.1150
10:22:29.164   Training iter 150, batch loss 0.9278, batch acc 0.1190
10:22:29.700   Training iter 200, batch loss 0.9241, batch acc 0.1222
10:22:30.248   Training iter 250, batch loss 0.9203, batch acc 0.1194
10:22:30.795   Training iter 300, batch loss 0.9173, batch acc 0.1154
10:22:31.354   Training iter 350, batch loss 0.9135, batch acc 0.1202
10:22:31.912   Training iter 400, batch loss 0.9107, batch acc 0.1158
10:22:32.456   Training iter 450, batch loss 0.9066, batch acc 0.1190
10:22:32.984   Training iter 500, batch loss 0.9038, batch acc 0.1240
10:22:33.495   Training iter 550, batch loss 0.9006, batch acc 0.1210
10:22:34.004   Training iter 600, batch loss 0.8961, batch acc 0.1206
10:22:34.006 Training @ 7 epoch...
10:22:34.530   Training iter 50, batch loss 0.8934, batch acc 0.1290
10:22:35.058   Training iter 100, batch loss 0.8901, batch acc 0.1244
10:22:35.586   Training iter 150, batch loss 0.8884, batch acc 0.1178
10:22:36.113   Training iter 200, batch loss 0.8839, batch acc 0.1246
10:22:36.638   Training iter 250, batch loss 0.8814, batch acc 0.1214
10:22:37.156   Training iter 300, batch loss 0.8774, batch acc 0.1220
10:22:37.683   Training iter 350, batch loss 0.8755, batch acc 0.1186
10:22:38.200   Training iter 400, batch loss 0.8720, batch acc 0.1180
10:22:38.724   Training iter 450, batch loss 0.8694, batch acc 0.1248
10:22:39.251   Training iter 500, batch loss 0.8656, batch acc 0.1224
10:22:39.775   Training iter 550, batch loss 0.8630, batch acc 0.1220
10:22:40.309   Training iter 600, batch loss 0.8592, batch acc 0.1282
10:22:40.311 Training @ 8 epoch...
10:22:40.833   Training iter 50, batch loss 0.8569, batch acc 0.1310
10:22:41.357   Training iter 100, batch loss 0.8543, batch acc 0.1304
10:22:41.873   Training iter 150, batch loss 0.8512, batch acc 0.1192
10:22:42.414   Training iter 200, batch loss 0.8490, batch acc 0.1198
10:22:42.958   Training iter 250, batch loss 0.8455, batch acc 0.1272
10:22:43.497   Training iter 300, batch loss 0.8433, batch acc 0.1280
10:22:44.034   Training iter 350, batch loss 0.8405, batch acc 0.1338
10:22:44.577   Training iter 400, batch loss 0.8382, batch acc 0.1244
10:22:45.120   Training iter 450, batch loss 0.8352, batch acc 0.1240
10:22:45.649   Training iter 500, batch loss 0.8332, batch acc 0.1272
10:22:46.181   Training iter 550, batch loss 0.8288, batch acc 0.1352
10:22:46.686   Training iter 600, batch loss 0.8267, batch acc 0.1288
10:22:46.688 Training @ 9 epoch...
10:22:47.173   Training iter 50, batch loss 0.8248, batch acc 0.1310
10:22:47.649   Training iter 100, batch loss 0.8222, batch acc 0.1272
10:22:48.137   Training iter 150, batch loss 0.8186, batch acc 0.1402
10:22:48.608   Training iter 200, batch loss 0.8176, batch acc 0.1280
10:22:49.069   Training iter 250, batch loss 0.8149, batch acc 0.1294
10:22:49.553   Training iter 300, batch loss 0.8114, batch acc 0.1444
