======================================================
learning_rate: 0.001
weight_decay: 0.01
momentum: 0.01
batch_size: 100
max_epoch: 500
disp_freq: 50
test_epoch: 5
plot_epoch: 100
network: Lin-784-10 Relu
loss: Softmax
result dir: ./result/exp_3
======================================================
11:13:44.786 Training @ 0 epoch...
11:13:45.361   Training iter 50, batch loss 2.3048, batch acc 0.1134
11:13:45.954   Training iter 100, batch loss 2.2839, batch acc 0.2076
11:13:46.531   Training iter 150, batch loss 2.2659, batch acc 0.2710
11:13:47.053   Training iter 200, batch loss 2.2442, batch acc 0.3136
11:13:47.603   Training iter 250, batch loss 2.2225, batch acc 0.3584
11:13:48.176   Training iter 300, batch loss 2.2091, batch acc 0.3580
11:13:48.752   Training iter 350, batch loss 2.1917, batch acc 0.3746
11:13:49.308   Training iter 400, batch loss 2.1774, batch acc 0.3818
11:13:49.855   Training iter 450, batch loss 2.1510, batch acc 0.4126
11:13:50.416   Training iter 500, batch loss 2.1229, batch acc 0.4596
11:13:50.995   Training iter 550, batch loss 2.1046, batch acc 0.4732
11:13:51.545   Training iter 600, batch loss 2.0816, batch acc 0.4668
11:13:51.547 Testing @ 0 epoch...
11:13:51.593     Testing, total mean loss 2.05797, total acc 0.49250
11:13:51.593 Plot @ 0 epoch...
11:13:51.593 Training @ 1 epoch...
11:13:52.133   Training iter 50, batch loss 2.0570, batch acc 0.4836
11:13:52.667   Training iter 100, batch loss 2.0255, batch acc 0.4928
11:13:53.210   Training iter 150, batch loss 2.0121, batch acc 0.4714
11:13:53.756   Training iter 200, batch loss 1.9993, batch acc 0.4764
11:13:54.282   Training iter 250, batch loss 1.9793, batch acc 0.4826
11:13:54.803   Training iter 300, batch loss 1.9625, batch acc 0.4966
11:13:55.356   Training iter 350, batch loss 1.9367, batch acc 0.5006
11:13:55.889   Training iter 400, batch loss 1.9104, batch acc 0.5054
11:13:56.434   Training iter 450, batch loss 1.8982, batch acc 0.5060
11:13:56.959   Training iter 500, batch loss 1.8865, batch acc 0.5010
11:13:57.499   Training iter 550, batch loss 1.8744, batch acc 0.5036
11:13:58.027   Training iter 600, batch loss 1.8619, batch acc 0.5088
11:13:58.029 Training @ 2 epoch...
11:13:58.604   Training iter 50, batch loss 1.8423, batch acc 0.5262
11:13:59.196   Training iter 100, batch loss 1.8352, batch acc 0.5160
11:13:59.767   Training iter 150, batch loss 1.8177, batch acc 0.5198
