======================================================
learning_rate: 0.001
weight_decay: 0.01
momentum: 0.01
batch_size: 100
max_epoch: 500
disp_freq: 50
test_epoch: 5
plot_epoch: 100
network: Lin-784-10 Sigm
loss: Softmax
result dir: ./result/exp_4
======================================================
12:06:18.140 Training @ 0 epoch...
12:06:18.682   Training iter 50, batch loss 2.2994, batch acc 0.1046
12:06:19.199   Training iter 100, batch loss 2.2969, batch acc 0.1552
12:06:19.718   Training iter 150, batch loss 2.2924, batch acc 0.1980
12:06:20.263   Training iter 200, batch loss 2.2887, batch acc 0.2156
12:06:20.781   Training iter 250, batch loss 2.2859, batch acc 0.2036
12:06:21.290   Training iter 300, batch loss 2.2812, batch acc 0.2154
12:06:21.816   Training iter 350, batch loss 2.2782, batch acc 0.2180
12:06:22.341   Training iter 400, batch loss 2.2753, batch acc 0.2272
12:06:22.869   Training iter 450, batch loss 2.2713, batch acc 0.2404
12:06:23.408   Training iter 500, batch loss 2.2677, batch acc 0.2576
12:06:23.935   Training iter 550, batch loss 2.2643, batch acc 0.2684
12:06:24.452   Training iter 600, batch loss 2.2611, batch acc 0.2794
12:06:24.454 Testing @ 0 epoch...
12:06:24.496     Testing, total mean loss 2.25892, total acc 0.27980
12:06:24.496 Plot @ 0 epoch...
12:06:24.496 Training @ 1 epoch...
12:06:25.023   Training iter 50, batch loss 2.2587, batch acc 0.2798
12:06:25.534   Training iter 100, batch loss 2.2556, batch acc 0.2860
12:06:26.058   Training iter 150, batch loss 2.2505, batch acc 0.3160
12:06:26.586   Training iter 200, batch loss 2.2501, batch acc 0.3022
12:06:27.145   Training iter 250, batch loss 2.2457, batch acc 0.3272
12:06:27.708   Training iter 300, batch loss 2.2437, batch acc 0.3326
12:06:28.275   Training iter 350, batch loss 2.2400, batch acc 0.3656
12:06:28.805   Training iter 400, batch loss 2.2385, batch acc 0.3746
12:06:29.340   Training iter 450, batch loss 2.2338, batch acc 0.3972
12:06:29.875   Training iter 500, batch loss 2.2303, batch acc 0.4038
12:06:30.425   Training iter 550, batch loss 2.2256, batch acc 0.4332
12:06:30.961   Training iter 600, batch loss 2.2248, batch acc 0.4244
12:06:30.963 Training @ 2 epoch...
12:06:31.496   Training iter 50, batch loss 2.2206, batch acc 0.4462
12:06:32.012   Training iter 100, batch loss 2.2199, batch acc 0.4458
12:06:32.520   Training iter 150, batch loss 2.2141, batch acc 0.4736
12:06:33.026   Training iter 200, batch loss 2.2128, batch acc 0.4652
12:06:33.490   Training iter 250, batch loss 2.2094, batch acc 0.4928
12:06:33.949   Training iter 300, batch loss 2.2066, batch acc 0.5002
12:06:34.425   Training iter 350, batch loss 2.2037, batch acc 0.5016
12:06:34.919   Training iter 400, batch loss 2.2026, batch acc 0.5164
12:06:35.416   Training iter 450, batch loss 2.2004, batch acc 0.5156
12:06:35.887   Training iter 500, batch loss 2.1994, batch acc 0.5286
12:06:36.369   Training iter 550, batch loss 2.1952, batch acc 0.5532
12:06:36.876   Training iter 600, batch loss 2.1914, batch acc 0.5634
12:06:36.878 Training @ 3 epoch...
12:06:37.371   Training iter 50, batch loss 2.1874, batch acc 0.6002
12:06:37.877   Training iter 100, batch loss 2.1862, batch acc 0.5778
12:06:38.354   Training iter 150, batch loss 2.1846, batch acc 0.5784
12:06:38.827   Training iter 200, batch loss 2.1806, batch acc 0.5936
12:06:39.321   Training iter 250, batch loss 2.1769, batch acc 0.6032
12:06:39.792   Training iter 300, batch loss 2.1745, batch acc 0.6228
12:06:40.299   Training iter 350, batch loss 2.1730, batch acc 0.6212
12:06:40.771   Training iter 400, batch loss 2.1710, batch acc 0.6150
12:06:41.233   Training iter 450, batch loss 2.1660, batch acc 0.6410
12:06:41.691   Training iter 500, batch loss 2.1669, batch acc 0.6358
12:06:42.205   Training iter 550, batch loss 2.1622, batch acc 0.6396
12:06:42.695   Training iter 600, batch loss 2.1614, batch acc 0.6480
12:06:42.697 Training @ 4 epoch...
12:06:43.197   Training iter 50, batch loss 2.1570, batch acc 0.6518
12:06:43.677   Training iter 100, batch loss 2.1573, batch acc 0.6616
12:06:44.168   Training iter 150, batch loss 2.1540, batch acc 0.6608
12:06:44.652   Training iter 200, batch loss 2.1501, batch acc 0.6604
12:06:45.186   Training iter 250, batch loss 2.1498, batch acc 0.6700
12:06:45.714   Training iter 300, batch loss 2.1460, batch acc 0.6852
12:06:46.238   Training iter 350, batch loss 2.1421, batch acc 0.6842
12:06:46.792   Training iter 400, batch loss 2.1392, batch acc 0.6862
12:06:47.332   Training iter 450, batch loss 2.1411, batch acc 0.6762
12:06:47.870   Training iter 500, batch loss 2.1357, batch acc 0.6810
12:06:48.434   Training iter 550, batch loss 2.1335, batch acc 0.6922
12:06:48.939   Training iter 600, batch loss 2.1326, batch acc 0.6904
12:06:48.941 Training @ 5 epoch...
12:06:49.472   Training iter 50, batch loss 2.1286, batch acc 0.6946
12:06:50.021   Training iter 100, batch loss 2.1270, batch acc 0.6918
12:06:50.567   Training iter 150, batch loss 2.1279, batch acc 0.6990
12:06:51.093   Training iter 200, batch loss 2.1241, batch acc 0.6936
12:06:51.606   Training iter 250, batch loss 2.1236, batch acc 0.6908
12:06:52.120   Training iter 300, batch loss 2.1202, batch acc 0.7028
12:06:52.648   Training iter 350, batch loss 2.1168, batch acc 0.7060
12:06:53.167   Training iter 400, batch loss 2.1143, batch acc 0.7126
12:06:53.685   Training iter 450, batch loss 2.1110, batch acc 0.7104
12:06:54.205   Training iter 500, batch loss 2.1100, batch acc 0.7174
12:06:54.739   Training iter 550, batch loss 2.1086, batch acc 0.7216
12:06:55.265   Training iter 600, batch loss 2.1055, batch acc 0.7220
12:06:55.267 Testing @ 5 epoch...
12:06:55.313     Testing, total mean loss 2.10122, total acc 0.73390
12:06:55.313 Training @ 6 epoch...
12:06:55.807   Training iter 50, batch loss 2.1042, batch acc 0.7110
12:06:56.303   Training iter 100, batch loss 2.1021, batch acc 0.7164
12:06:56.833   Training iter 150, batch loss 2.1010, batch acc 0.7218
12:06:57.352   Training iter 200, batch loss 2.0963, batch acc 0.7366
12:06:57.890   Training iter 250, batch loss 2.0960, batch acc 0.7304
12:06:58.369   Training iter 300, batch loss 2.0972, batch acc 0.7210
12:06:58.830   Training iter 350, batch loss 2.0931, batch acc 0.7258
12:06:59.285   Training iter 400, batch loss 2.0913, batch acc 0.7238
12:06:59.778   Training iter 450, batch loss 2.0903, batch acc 0.7294
12:07:00.275   Training iter 500, batch loss 2.0878, batch acc 0.7340
12:07:00.747   Training iter 550, batch loss 2.0866, batch acc 0.7356
12:07:01.223   Training iter 600, batch loss 2.0808, batch acc 0.7358
12:07:01.225 Training @ 7 epoch...
12:07:01.780   Training iter 50, batch loss 2.0819, batch acc 0.7448
12:07:02.327   Training iter 100, batch loss 2.0824, batch acc 0.7274
12:07:02.833   Training iter 150, batch loss 2.0773, batch acc 0.7386
12:07:03.357   Training iter 200, batch loss 2.0772, batch acc 0.7414
12:07:03.885   Training iter 250, batch loss 2.0761, batch acc 0.7314
12:07:04.440   Training iter 300, batch loss 2.0735, batch acc 0.7430
12:07:04.983   Training iter 350, batch loss 2.0686, batch acc 0.7470
12:07:05.527   Training iter 400, batch loss 2.0701, batch acc 0.7384
12:07:06.069   Training iter 450, batch loss 2.0675, batch acc 0.7470
12:07:06.631   Training iter 500, batch loss 2.0636, batch acc 0.7544
12:07:07.168   Training iter 550, batch loss 2.0637, batch acc 0.7562
12:07:07.711   Training iter 600, batch loss 2.0612, batch acc 0.7456
12:07:07.713 Training @ 8 epoch...
12:07:08.263   Training iter 50, batch loss 2.0590, batch acc 0.7466
12:07:08.787   Training iter 100, batch loss 2.0585, batch acc 0.7546
12:07:09.305   Training iter 150, batch loss 2.0589, batch acc 0.7480
12:07:09.828   Training iter 200, batch loss 2.0546, batch acc 0.7534
12:07:10.368   Training iter 250, batch loss 2.0556, batch acc 0.7574
12:07:10.896   Training iter 300, batch loss 2.0537, batch acc 0.7494
12:07:11.415   Training iter 350, batch loss 2.0507, batch acc 0.7568
12:07:11.932   Training iter 400, batch loss 2.0497, batch acc 0.7598
12:07:12.468   Training iter 450, batch loss 2.0489, batch acc 0.7606
12:07:13.013   Training iter 500, batch loss 2.0472, batch acc 0.7506
12:07:13.553   Training iter 550, batch loss 2.0448, batch acc 0.7632
12:07:14.087   Training iter 600, batch loss 2.0427, batch acc 0.7596
12:07:14.089 Training @ 9 epoch...
12:07:14.616   Training iter 50, batch loss 2.0423, batch acc 0.7568
12:07:15.162   Training iter 100, batch loss 2.0395, batch acc 0.7670
12:07:15.706   Training iter 150, batch loss 2.0424, batch acc 0.7502
12:07:16.242   Training iter 200, batch loss 2.0373, batch acc 0.7630
12:07:16.780   Training iter 250, batch loss 2.0336, batch acc 0.7690
12:07:17.320   Training iter 300, batch loss 2.0328, batch acc 0.7654
12:07:17.860   Training iter 350, batch loss 2.0356, batch acc 0.7606
12:07:18.405   Training iter 400, batch loss 2.0337, batch acc 0.7580
12:07:18.942   Training iter 450, batch loss 2.0309, batch acc 0.7668
12:07:19.475   Training iter 500, batch loss 2.0282, batch acc 0.7652
12:07:20.009   Training iter 550, batch loss 2.0245, batch acc 0.7800
12:07:20.546   Training iter 600, batch loss 2.0271, batch acc 0.7700
12:07:20.547 Training @ 10 epoch...
12:07:21.068   Training iter 50, batch loss 2.0224, batch acc 0.7784
12:07:21.576   Training iter 100, batch loss 2.0232, batch acc 0.7686
12:07:22.077   Training iter 150, batch loss 2.0210, batch acc 0.7744
12:07:22.587   Training iter 200, batch loss 2.0189, batch acc 0.7716
12:07:23.101   Training iter 250, batch loss 2.0219, batch acc 0.7686
12:07:23.613   Training iter 300, batch loss 2.0177, batch acc 0.7716
12:07:24.125   Training iter 350, batch loss 2.0158, batch acc 0.7746
12:07:24.649   Training iter 400, batch loss 2.0150, batch acc 0.7654
12:07:25.174   Training iter 450, batch loss 2.0160, batch acc 0.7658
12:07:25.687   Training iter 500, batch loss 2.0164, batch acc 0.7660
12:07:26.198   Training iter 550, batch loss 2.0140, batch acc 0.7670
12:07:26.709   Training iter 600, batch loss 2.0088, batch acc 0.7762
12:07:26.710 Testing @ 10 epoch...
12:07:26.753     Testing, total mean loss 2.00398, total acc 0.78850
12:07:26.753 Training @ 11 epoch...
12:07:27.286   Training iter 50, batch loss 2.0105, batch acc 0.7690
12:07:27.805   Training iter 100, batch loss 2.0084, batch acc 0.7704
12:07:28.336   Training iter 150, batch loss 2.0065, batch acc 0.7792
12:07:28.856   Training iter 200, batch loss 2.0061, batch acc 0.7686
12:07:29.415   Training iter 250, batch loss 2.0051, batch acc 0.7736
12:07:29.977   Training iter 300, batch loss 2.0023, batch acc 0.7832
12:07:30.541   Training iter 350, batch loss 2.0034, batch acc 0.7766
12:07:31.066   Training iter 400, batch loss 2.0001, batch acc 0.7708
12:07:31.610   Training iter 450, batch loss 1.9958, batch acc 0.7906
12:07:32.172   Training iter 500, batch loss 1.9976, batch acc 0.7898
12:07:32.727   Training iter 550, batch loss 1.9976, batch acc 0.7732
12:07:33.278   Training iter 600, batch loss 1.9984, batch acc 0.7782
12:07:33.280 Training @ 12 epoch...
12:07:33.796   Training iter 50, batch loss 1.9957, batch acc 0.7778
12:07:34.323   Training iter 100, batch loss 1.9958, batch acc 0.7746
12:07:34.833   Training iter 150, batch loss 1.9930, batch acc 0.7798
12:07:35.348   Training iter 200, batch loss 1.9937, batch acc 0.7762
12:07:35.852   Training iter 250, batch loss 1.9891, batch acc 0.7814
12:07:36.376   Training iter 300, batch loss 1.9890, batch acc 0.7860
