======================================================
learning_rate: 0.1
weight_decay: 0.0001
momentum: 0.1
batch_size: 100
max_epoch: 500
disp_freq: 50
test_epoch: 5
plot_epoch: 100
network: Lin-784-10 Sigm Lin-10-10 Sigm
loss: Euclidean
result dir: ./result/exp_6
======================================================
13:49:51.411 Training @ 0 epoch...
13:49:51.961   Training iter 50, batch loss 1.2362, batch acc 0.1138
13:49:52.490   Training iter 100, batch loss 1.2176, batch acc 0.1110
13:49:53.022   Training iter 150, batch loss 1.1993, batch acc 0.1048
13:49:53.546   Training iter 200, batch loss 1.1810, batch acc 0.1084
13:49:54.045   Training iter 250, batch loss 1.1627, batch acc 0.1112
13:49:54.563   Training iter 300, batch loss 1.1444, batch acc 0.1152
13:49:55.094   Training iter 350, batch loss 1.1260, batch acc 0.1144
13:49:55.621   Training iter 400, batch loss 1.1075, batch acc 0.1134
13:49:56.085   Training iter 450, batch loss 1.0888, batch acc 0.1114
13:49:56.546   Training iter 500, batch loss 1.0697, batch acc 0.1238
13:49:57.019   Training iter 550, batch loss 1.0506, batch acc 0.1134
13:49:57.495   Training iter 600, batch loss 1.0313, batch acc 0.1076
13:49:57.497 Testing @ 0 epoch...
13:49:57.536     Testing, total mean loss 1.02124, total acc 0.11350
13:49:57.536 Plot @ 0 epoch...
13:49:57.536 Training @ 1 epoch...
13:49:58.034   Training iter 50, batch loss 1.0117, batch acc 0.1142
13:49:58.533   Training iter 100, batch loss 0.9920, batch acc 0.1122
13:49:59.023   Training iter 150, batch loss 0.9720, batch acc 0.1216
13:49:59.502   Training iter 200, batch loss 0.9523, batch acc 0.1112
13:50:00.021   Training iter 250, batch loss 0.9325, batch acc 0.1114
13:50:00.553   Training iter 300, batch loss 0.9128, batch acc 0.1054
13:50:01.088   Training iter 350, batch loss 0.8933, batch acc 0.1116
13:50:01.632   Training iter 400, batch loss 0.8742, batch acc 0.1108
13:50:02.193   Training iter 450, batch loss 0.8554, batch acc 0.1112
13:50:02.765   Training iter 500, batch loss 0.8370, batch acc 0.1106
13:50:03.317   Training iter 550, batch loss 0.8191, batch acc 0.1184
13:50:03.877   Training iter 600, batch loss 0.8020, batch acc 0.1098
13:50:03.879 Training @ 2 epoch...
13:50:04.423   Training iter 50, batch loss 0.7854, batch acc 0.1136
13:50:04.950   Training iter 100, batch loss 0.7693, batch acc 0.1144
13:50:05.490   Training iter 150, batch loss 0.7542, batch acc 0.1094
13:50:06.022   Training iter 200, batch loss 0.7397, batch acc 0.1074
13:50:06.545   Training iter 250, batch loss 0.7257, batch acc 0.1118
13:50:07.059   Training iter 300, batch loss 0.7125, batch acc 0.1116
13:50:07.542   Training iter 350, batch loss 0.6999, batch acc 0.1134
13:50:08.021   Training iter 400, batch loss 0.6882, batch acc 0.1078
13:50:08.496   Training iter 450, batch loss 0.6768, batch acc 0.1148
13:50:08.959   Training iter 500, batch loss 0.6662, batch acc 0.1068
13:50:09.412   Training iter 550, batch loss 0.6561, batch acc 0.1228
13:50:09.869   Training iter 600, batch loss 0.6467, batch acc 0.1146
13:50:09.871 Training @ 3 epoch...
13:50:10.345   Training iter 50, batch loss 0.6378, batch acc 0.1148
13:50:10.818   Training iter 100, batch loss 0.6293, batch acc 0.1164
13:50:11.286   Training iter 150, batch loss 0.6215, batch acc 0.1112
13:50:11.751   Training iter 200, batch loss 0.6139, batch acc 0.1064
13:50:12.217   Training iter 250, batch loss 0.6067, batch acc 0.1124
13:50:12.712   Training iter 300, batch loss 0.6002, batch acc 0.1084
13:50:13.231   Training iter 350, batch loss 0.5938, batch acc 0.1106
13:50:13.770   Training iter 400, batch loss 0.5878, batch acc 0.1136
13:50:14.309   Training iter 450, batch loss 0.5823, batch acc 0.1096
13:50:14.822   Training iter 500, batch loss 0.5768, batch acc 0.1206
13:50:15.316   Training iter 550, batch loss 0.5718, batch acc 0.1112
13:50:15.829   Training iter 600, batch loss 0.5670, batch acc 0.1132
13:50:15.831 Training @ 4 epoch...
13:50:16.361   Training iter 50, batch loss 0.5624, batch acc 0.1164
13:50:16.872   Training iter 100, batch loss 0.5581, batch acc 0.1132
13:50:17.375   Training iter 150, batch loss 0.5541, batch acc 0.1146
13:50:17.885   Training iter 200, batch loss 0.5504, batch acc 0.1066
13:50:18.362   Training iter 250, batch loss 0.5469, batch acc 0.1078
13:50:18.832   Training iter 300, batch loss 0.5433, batch acc 0.1064
13:50:19.293   Training iter 350, batch loss 0.5400, batch acc 0.1072
13:50:19.747   Training iter 400, batch loss 0.5368, batch acc 0.1090
13:50:20.210   Training iter 450, batch loss 0.5338, batch acc 0.1122
13:50:20.670   Training iter 500, batch loss 0.5310, batch acc 0.1146
13:50:21.137   Training iter 550, batch loss 0.5280, batch acc 0.1248
13:50:21.596   Training iter 600, batch loss 0.5255, batch acc 0.1156
13:50:21.598 Training @ 5 epoch...
13:50:22.058   Training iter 50, batch loss 0.5232, batch acc 0.1102
13:50:22.518   Training iter 100, batch loss 0.5207, batch acc 0.1148
13:50:22.982   Training iter 150, batch loss 0.5188, batch acc 0.1064
13:50:23.454   Training iter 200, batch loss 0.5164, batch acc 0.1154
13:50:23.925   Training iter 250, batch loss 0.5145, batch acc 0.1120
13:50:24.402   Training iter 300, batch loss 0.5124, batch acc 0.1168
13:50:24.876   Training iter 350, batch loss 0.5106, batch acc 0.1128
13:50:25.353   Training iter 400, batch loss 0.5088, batch acc 0.1130
13:50:25.829   Training iter 450, batch loss 0.5071, batch acc 0.1080
13:50:26.313   Training iter 500, batch loss 0.5054, batch acc 0.1116
13:50:26.782   Training iter 550, batch loss 0.5037, batch acc 0.1160
13:50:27.257   Training iter 600, batch loss 0.5023, batch acc 0.1114
13:50:27.258 Testing @ 5 epoch...
13:50:27.297     Testing, total mean loss 0.50154, total acc 0.11350
13:50:27.297 Training @ 6 epoch...
13:50:27.784   Training iter 50, batch loss 0.5010, batch acc 0.1016
13:50:28.285   Training iter 100, batch loss 0.4995, batch acc 0.1092
13:50:28.799   Training iter 150, batch loss 0.4981, batch acc 0.1080
13:50:29.328   Training iter 200, batch loss 0.4967, batch acc 0.1176
13:50:29.835   Training iter 250, batch loss 0.4957, batch acc 0.1094
13:50:30.379   Training iter 300, batch loss 0.4943, batch acc 0.1134
13:50:30.930   Training iter 350, batch loss 0.4933, batch acc 0.1122
13:50:31.482   Training iter 400, batch loss 0.4920, batch acc 0.1210
13:50:32.028   Training iter 450, batch loss 0.4910, batch acc 0.1132
13:50:32.572   Training iter 500, batch loss 0.4900, batch acc 0.1148
13:50:33.119   Training iter 550, batch loss 0.4889, batch acc 0.1180
13:50:33.664   Training iter 600, batch loss 0.4882, batch acc 0.1100
13:50:33.666 Training @ 7 epoch...
13:50:34.210   Training iter 50, batch loss 0.4872, batch acc 0.1102
13:50:34.719   Training iter 100, batch loss 0.4862, batch acc 0.1096
13:50:35.246   Training iter 150, batch loss 0.4854, batch acc 0.1152
13:50:35.758   Training iter 200, batch loss 0.4846, batch acc 0.1136
13:50:36.276   Training iter 250, batch loss 0.4839, batch acc 0.1022
13:50:36.786   Training iter 300, batch loss 0.4830, batch acc 0.1120
13:50:37.292   Training iter 350, batch loss 0.4823, batch acc 0.1112
13:50:37.801   Training iter 400, batch loss 0.4816, batch acc 0.1108
13:50:38.308   Training iter 450, batch loss 0.4807, batch acc 0.1168
13:50:38.818   Training iter 500, batch loss 0.4802, batch acc 0.1152
