======================================================
learning_rate: 0.1
weight_decay: 0.0001
momentum: 0.1
batch_size: 100
max_epoch: 500
disp_freq: 50
test_epoch: 5
plot_epoch: 100
network: Lin-784-10 Relu Lin-10-10 Relu
loss: Softmax
result dir: ./result/exp_7
======================================================
14:42:13.099 Training @ 0 epoch...
14:42:13.591   Training iter 50, batch loss 2.2968, batch acc 0.1302
14:42:14.050   Training iter 100, batch loss 2.1709, batch acc 0.1822
14:42:14.516   Training iter 150, batch loss 1.9143, batch acc 0.3478
14:42:14.995   Training iter 200, batch loss 1.6142, batch acc 0.4958
14:42:15.485   Training iter 250, batch loss 1.4227, batch acc 0.5300
14:42:15.969   Training iter 300, batch loss 1.3133, batch acc 0.5524
14:42:16.453   Training iter 350, batch loss 1.2805, batch acc 0.5722
14:42:16.972   Training iter 400, batch loss 1.2321, batch acc 0.5846
14:42:17.507   Training iter 450, batch loss 1.2319, batch acc 0.5920
14:42:18.024   Training iter 500, batch loss 1.1932, batch acc 0.6150
14:42:18.568   Training iter 550, batch loss 1.2012, batch acc 0.6180
14:42:19.120   Training iter 600, batch loss 1.1892, batch acc 0.6200
14:42:19.122 Testing @ 0 epoch...
14:42:19.165     Testing, total mean loss 1.16538, total acc 0.62350
14:42:19.165 Plot @ 0 epoch...
14:42:19.165 Training @ 1 epoch...
14:42:19.722   Training iter 50, batch loss 1.1663, batch acc 0.6324
14:42:20.257   Training iter 100, batch loss 1.1618, batch acc 0.6302
14:42:20.784   Training iter 150, batch loss 1.1813, batch acc 0.6284
14:42:21.326   Training iter 200, batch loss 1.1752, batch acc 0.6270
14:42:21.835   Training iter 250, batch loss 1.1580, batch acc 0.6452
14:42:22.336   Training iter 300, batch loss 1.1337, batch acc 0.6414
14:42:22.830   Training iter 350, batch loss 1.1431, batch acc 0.6358
14:42:23.298   Training iter 400, batch loss 1.0594, batch acc 0.6614
14:42:23.769   Training iter 450, batch loss 1.0474, batch acc 0.6834
14:42:24.240   Training iter 500, batch loss 0.9826, batch acc 0.7284
14:42:24.713   Training iter 550, batch loss 1.0131, batch acc 0.7222
14:42:25.193   Training iter 600, batch loss 0.9869, batch acc 0.7368
14:42:25.195 Training @ 2 epoch...
14:42:25.677   Training iter 50, batch loss 0.9765, batch acc 0.7340
14:42:26.175   Training iter 100, batch loss 0.9598, batch acc 0.7402
14:42:26.651   Training iter 150, batch loss 0.9495, batch acc 0.7438
14:42:27.151   Training iter 200, batch loss 0.9362, batch acc 0.7486
14:42:27.644   Training iter 250, batch loss 0.9594, batch acc 0.7398
14:42:28.134   Training iter 300, batch loss 0.9512, batch acc 0.7392
14:42:28.612   Training iter 350, batch loss 0.8786, batch acc 0.7500
14:42:29.091   Training iter 400, batch loss 0.7416, batch acc 0.7748
14:42:29.570   Training iter 450, batch loss 0.6124, batch acc 0.8192
14:42:30.061   Training iter 500, batch loss 0.5847, batch acc 0.8218
14:42:30.547   Training iter 550, batch loss 0.5628, batch acc 0.8242
14:42:31.036   Training iter 600, batch loss 0.5836, batch acc 0.8188
14:42:31.038 Training @ 3 epoch...
14:42:31.524   Training iter 50, batch loss 0.5472, batch acc 0.8272
14:42:32.017   Training iter 100, batch loss 0.5386, batch acc 0.8262
