======================================================
learning_rate: 0.1
weight_decay: 0.0001
momentum: 0.1
batch_size: 100
max_epoch: 500
disp_freq: 50
test_epoch: 5
plot_epoch: 100
network: Lin-784-10 Sigm Lin-10-10 Sigm
loss: Softmax
result dir: ./result/exp_8
======================================================
15:34:37.320 Training @ 0 epoch...
15:34:37.895   Training iter 50, batch loss 2.3025, batch acc 0.0954
15:34:38.447   Training iter 100, batch loss 2.3021, batch acc 0.1120
15:34:38.981   Training iter 150, batch loss 2.3016, batch acc 0.1212
15:34:39.492   Training iter 200, batch loss 2.3012, batch acc 0.1146
15:34:39.996   Training iter 250, batch loss 2.3002, batch acc 0.1254
15:34:40.509   Training iter 300, batch loss 2.3014, batch acc 0.1040
15:34:40.975   Training iter 350, batch loss 2.2997, batch acc 0.1146
15:34:41.436   Training iter 400, batch loss 2.3012, batch acc 0.1024
15:34:41.898   Training iter 450, batch loss 2.2987, batch acc 0.1146
15:34:42.375   Training iter 500, batch loss 2.2989, batch acc 0.1124
15:34:42.861   Training iter 550, batch loss 2.2981, batch acc 0.1074
15:34:43.337   Training iter 600, batch loss 2.2966, batch acc 0.1080
15:34:43.339 Testing @ 0 epoch...
15:34:43.385     Testing, total mean loss 2.29486, total acc 0.11350
15:34:43.385 Plot @ 0 epoch...
15:34:43.385 Training @ 1 epoch...
15:34:43.900   Training iter 50, batch loss 2.2960, batch acc 0.1056
15:34:44.397   Training iter 100, batch loss 2.2906, batch acc 0.1194
15:34:44.898   Training iter 150, batch loss 2.2899, batch acc 0.1138
15:34:45.399   Training iter 200, batch loss 2.2858, batch acc 0.1132
15:34:45.891   Training iter 250, batch loss 2.2820, batch acc 0.1174
15:34:46.394   Training iter 300, batch loss 2.2796, batch acc 0.1064
15:34:46.887   Training iter 350, batch loss 2.2707, batch acc 0.1172
15:34:47.376   Training iter 400, batch loss 2.2652, batch acc 0.1128
15:34:47.865   Training iter 450, batch loss 2.2601, batch acc 0.1158
15:34:48.367   Training iter 500, batch loss 2.2507, batch acc 0.1304
