======================================================
learning_rate: 0.1
weight_decay: 0.0001
momentum: 0.1
batch_size: 100
max_epoch: 500
disp_freq: 50
test_epoch: 5
plot_epoch: 100
network: Lin-784-10 Relu Lin-10-10 Sigm
loss: Softmax
result dir: ./result/exp_9
======================================================
16:28:07.083 Training @ 0 epoch...
16:28:07.661   Training iter 50, batch loss 2.3022, batch acc 0.1108
16:28:08.209   Training iter 100, batch loss 2.3012, batch acc 0.1112
16:28:08.759   Training iter 150, batch loss 2.2976, batch acc 0.1462
16:28:09.316   Training iter 200, batch loss 2.2839, batch acc 0.1806
16:28:09.875   Training iter 250, batch loss 2.2468, batch acc 0.2130
16:28:10.438   Training iter 300, batch loss 2.1735, batch acc 0.3218
16:28:11.003   Training iter 350, batch loss 2.0877, batch acc 0.4192
16:28:11.559   Training iter 400, batch loss 1.9996, batch acc 0.5078
16:28:12.127   Training iter 450, batch loss 1.9401, batch acc 0.5504
16:28:12.686   Training iter 500, batch loss 1.9043, batch acc 0.5724
16:28:13.250   Training iter 550, batch loss 1.8667, batch acc 0.5908
16:28:13.872   Training iter 600, batch loss 1.8404, batch acc 0.5770
16:28:13.874 Testing @ 0 epoch...
16:28:13.928     Testing, total mean loss 1.83352, total acc 0.58590
16:28:13.928 Plot @ 0 epoch...
16:28:13.928 Training @ 1 epoch...
16:28:14.574   Training iter 50, batch loss 1.8336, batch acc 0.5814
16:28:15.339   Training iter 100, batch loss 1.8143, batch acc 0.5952
16:28:16.043   Training iter 150, batch loss 1.8020, batch acc 0.5998
16:28:16.589   Training iter 200, batch loss 1.7947, batch acc 0.5768
16:28:17.135   Training iter 250, batch loss 1.7863, batch acc 0.5838
16:28:17.688   Training iter 300, batch loss 1.7782, batch acc 0.5922
16:28:18.239   Training iter 350, batch loss 1.7686, batch acc 0.5996
16:28:18.788   Training iter 400, batch loss 1.7662, batch acc 0.5934
16:28:19.345   Training iter 450, batch loss 1.7600, batch acc 0.6070
16:28:19.916   Training iter 500, batch loss 1.7521, batch acc 0.5986
16:28:20.491   Training iter 550, batch loss 1.7530, batch acc 0.6134
16:28:21.033   Training iter 600, batch loss 1.7427, batch acc 0.6190
16:28:21.034 Training @ 2 epoch...
16:28:21.558   Training iter 50, batch loss 1.7413, batch acc 0.6402
16:28:22.082   Training iter 100, batch loss 1.7341, batch acc 0.6464
16:28:22.613   Training iter 150, batch loss 1.7294, batch acc 0.6530
16:28:23.137   Training iter 200, batch loss 1.7213, batch acc 0.6658
16:28:23.665   Training iter 250, batch loss 1.7189, batch acc 0.6600
16:28:24.188   Training iter 300, batch loss 1.7082, batch acc 0.6782
16:28:24.722   Training iter 350, batch loss 1.7115, batch acc 0.6784
16:28:25.255   Training iter 400, batch loss 1.6997, batch acc 0.6944
16:28:25.785   Training iter 450, batch loss 1.7006, batch acc 0.7002
16:28:26.298   Training iter 500, batch loss 1.6901, batch acc 0.7170
16:28:26.822   Training iter 550, batch loss 1.6919, batch acc 0.7192
16:28:27.347   Training iter 600, batch loss 1.6862, batch acc 0.7384
16:28:27.349 Training @ 3 epoch...
16:28:27.866   Training iter 50, batch loss 1.6786, batch acc 0.7594
16:28:28.404   Training iter 100, batch loss 1.6746, batch acc 0.7702
16:28:28.946   Training iter 150, batch loss 1.6652, batch acc 0.7660
16:28:29.509   Training iter 200, batch loss 1.6686, batch acc 0.7660
16:28:30.045   Training iter 250, batch loss 1.6622, batch acc 0.7606
16:28:30.598   Training iter 300, batch loss 1.6630, batch acc 0.7630
16:28:31.154   Training iter 350, batch loss 1.6579, batch acc 0.7630
16:28:31.696   Training iter 400, batch loss 1.6559, batch acc 0.7760
16:28:32.244   Training iter 450, batch loss 1.6540, batch acc 0.7688
16:28:32.794   Training iter 500, batch loss 1.6458, batch acc 0.7690
