======================================================
learning_rate: 0.1
weight_decay: 0.0001
momentum: 0.1
batch_size: 100
max_epoch: 500
disp_freq: 50
test_epoch: 5
plot_epoch: 100
network: Lin-784-20 Relu Lin-20-10 Relu
loss: Softmax
result dir: ./result/good_model
======================================================
09:39:07.144 Training @ 0 epoch...
09:39:09.422   Training iter 50, batch loss 2.2939, batch acc 0.1866
09:39:11.667   Training iter 100, batch loss 2.1447, batch acc 0.3172
09:39:13.874   Training iter 150, batch loss 1.7193, batch acc 0.4092
09:39:16.083   Training iter 200, batch loss 1.4729, batch acc 0.4866
09:39:18.307   Training iter 250, batch loss 1.3275, batch acc 0.5616
09:39:20.500   Training iter 300, batch loss 1.1698, batch acc 0.6042
09:39:22.740   Training iter 350, batch loss 1.0886, batch acc 0.6126
09:39:24.996   Training iter 400, batch loss 1.0871, batch acc 0.6072
09:39:27.271   Training iter 450, batch loss 1.0331, batch acc 0.6238
09:39:29.517   Training iter 500, batch loss 1.0199, batch acc 0.6188
09:39:31.754   Training iter 550, batch loss 0.9931, batch acc 0.6290
09:39:34.004   Training iter 600, batch loss 1.0344, batch acc 0.6140
09:39:34.006 Testing @ 0 epoch...
09:39:34.056     Testing, total mean loss 0.98960, total acc 0.62480
09:39:34.056 Plot @ 0 epoch...
09:39:34.056 Training @ 1 epoch...
09:39:36.315   Training iter 50, batch loss 1.0193, batch acc 0.6168
09:39:38.649   Training iter 100, batch loss 1.0058, batch acc 0.6254
09:39:40.911   Training iter 150, batch loss 0.9838, batch acc 0.6302
09:39:43.179   Training iter 200, batch loss 0.9802, batch acc 0.6282
09:39:45.450   Training iter 250, batch loss 1.0028, batch acc 0.6164
09:39:48.208   Training iter 300, batch loss 0.9611, batch acc 0.6352
09:39:50.593   Training iter 350, batch loss 0.9732, batch acc 0.6374
09:39:52.874   Training iter 400, batch loss 0.9880, batch acc 0.6250
09:39:55.196   Training iter 450, batch loss 0.9834, batch acc 0.6248
09:39:57.512   Training iter 500, batch loss 0.9548, batch acc 0.6364
09:39:59.793   Training iter 550, batch loss 0.9517, batch acc 0.6378
09:40:02.076   Training iter 600, batch loss 0.9487, batch acc 0.6380
09:40:02.078 Training @ 2 epoch...
09:40:04.345   Training iter 50, batch loss 0.9513, batch acc 0.6368
09:40:06.595   Training iter 100, batch loss 0.9758, batch acc 0.6312
09:40:08.829   Training iter 150, batch loss 0.9290, batch acc 0.6390
09:40:11.071   Training iter 200, batch loss 0.9403, batch acc 0.6548
09:40:13.330   Training iter 250, batch loss 0.8335, batch acc 0.7254
09:40:15.586   Training iter 300, batch loss 0.8338, batch acc 0.7142
09:40:17.815   Training iter 350, batch loss 0.7970, batch acc 0.7208
09:40:20.042   Training iter 400, batch loss 0.7798, batch acc 0.7262
09:40:22.272   Training iter 450, batch loss 0.7779, batch acc 0.7242
09:40:24.507   Training iter 500, batch loss 0.8050, batch acc 0.7160
09:40:26.787   Training iter 550, batch loss 0.7507, batch acc 0.7292
09:40:29.054   Training iter 600, batch loss 0.7643, batch acc 0.7272
09:40:29.056 Training @ 3 epoch...
09:40:31.328   Training iter 50, batch loss 0.7485, batch acc 0.7282
09:40:33.606   Training iter 100, batch loss 0.7365, batch acc 0.7330
09:40:35.900   Training iter 150, batch loss 0.7364, batch acc 0.7330
09:40:38.930   Training iter 200, batch loss 0.7651, batch acc 0.7238
09:40:41.243   Training iter 250, batch loss 0.7386, batch acc 0.7328
09:40:43.527   Training iter 300, batch loss 0.7306, batch acc 0.7330
09:40:45.812   Training iter 350, batch loss 0.7598, batch acc 0.7236
09:40:48.087   Training iter 400, batch loss 0.7201, batch acc 0.7364
09:40:50.344   Training iter 450, batch loss 0.7219, batch acc 0.7392
09:40:52.688   Training iter 500, batch loss 0.7285, batch acc 0.7322
09:40:54.938   Training iter 550, batch loss 0.7426, batch acc 0.7238
09:40:57.208   Training iter 600, batch loss 0.7180, batch acc 0.7326
09:40:57.210 Training @ 4 epoch...
09:40:59.470   Training iter 50, batch loss 0.7358, batch acc 0.7264
09:41:01.774   Training iter 100, batch loss 0.7019, batch acc 0.7418
09:41:04.078   Training iter 150, batch loss 0.7098, batch acc 0.7360
09:41:06.354   Training iter 200, batch loss 0.7028, batch acc 0.7370
09:41:08.612   Training iter 250, batch loss 0.7282, batch acc 0.7276
09:41:10.866   Training iter 300, batch loss 0.6986, batch acc 0.7424
09:41:13.124   Training iter 350, batch loss 0.7049, batch acc 0.7360
09:41:15.405   Training iter 400, batch loss 0.6923, batch acc 0.7436
09:41:17.752   Training iter 450, batch loss 0.7002, batch acc 0.7450
09:41:20.052   Training iter 500, batch loss 0.7162, batch acc 0.7334
